#lambda/nm	DC	C1
405.007	649.2	654.2
405.413	651.2	651.8
405.818	654.2	659.8
406.224	656.6	660.2
406.608	672	667.2
407.014	669.8	666.8
407.42	692.8	700
407.825	692.2	701.4
408.231	716.8	712
408.637	710.8	714.2
409.043	743.6	733.4
409.449	741.4	731.8
409.834	743.2	752.8
410.24	781.2	778.6
410.646	798.4	786.8
411.052	807.4	811.6
411.458	830.6	837.2
411.865	841	861.6
412.271	880.8	890.6
412.677	897.4	893.8
413.062	934.4	924.4
413.469	928.8	948.8
413.875	993.2	995
414.282	1009.8	1010.4
414.689	1053.2	1053.6
415.095	1088.6	1103
415.502	1119.4	1115.8
415.888	1168.4	1158.4
416.294	1196	1194.4
416.701	1288.6	1296.6
417.108	1296.2	1296
417.515	1361.4	1363.4
417.923	1419.6	1432.4
418.33	1485.6	1481.4
418.715	1542.8	1546.2
419.123	1609.6	1622.6
419.53	1671.8	1688.2
419.937	1759.8	1755.4
420.345	1819.6	1855.2
420.752	1876.2	1910
421.16	1998.2	1996.6
421.546	2059.2	2083.2
421.953	2173.8	2178.8
422.361	2282.8	2266
422.769	2377.6	2382.8
423.177	2474.2	2488
423.585	2620.2	2628.6
423.992	2764.6	2764.8
424.379	2850.6	2860.6
424.787	3022.6	3016.6
425.195	3137.6	3147
425.603	3294.6	3303.4
426.011	3454.2	3459.8
426.419	3639.4	3667.6
426.806	3817	3833.8
427.214	3994.6	3981.4
427.623	4202.4	4236.4
428.031	4404	4473.2
428.44	4643.4	4644.6
428.848	4872.4	4894
429.235	5159.4	5196.8
429.644	5408.6	5417.8
430.053	5642	5685.2
430.461	5969.4	6036.6
430.87	6293.8	6361
431.279	6530.4	6632.8
431.666	6873.2	6983
432.075	7184	7283.6
432.484	7550.6	7706.2
432.893	7895.2	8091.6
433.302	8316.8	8481.4
433.711	8716.2	8916.2
434.099	9129.8	9294
434.508	9538.2	9782.4
434.918	9957.4	10258
435.327	10470.8	10750.2
435.737	10959.4	11192.4
436.125	11474.8	11716
436.534	11962	12306.4
436.944	12514	12922.8
437.353	13107	13434.4
437.763	13657.6	14073.2
438.173	14204	14685.2
438.561	14897.2	15291.2
438.971	15514.6	15900.6
439.381	16197.6	16695.2
439.791	16913	17385.4
440.201	17615.2	18125.4
440.589	18309.2	18877
440.999	19117.6	19692.8
441.409	20023.4	20535.6
441.819	20852.6	21446.6
442.23	21754.4	22361
442.619	22739.6	23400.4
443.029	23686.8	24349.8
443.439	24791.8	25436.2
443.85	25885.8	26539.6
444.26	27109.8	27677
444.649	28289.8	29046.6
445.06	29612	30324.4
445.471	30989.2	31682.8
445.881	32334.4	33040.2
446.292	33916.8	34672.8
446.682	35325.6	36119.2
447.092	36983.6	37732.4
447.503	38659	39487.2
447.914	40287.4	41025.6
448.325	41921.2	42820.2
448.715	43581.6	44507.8
449.126	45363.4	46083
449.537	46993.2	47937.4
449.948	48486.6	49497.4
450.338	50184.2	50969.6
450.75	51777.8	52648.4
451.161	53133.4	54072.2
451.572	54456.4	55455.2
451.984	55646.4	56536
452.374	56611.4	57531.2
452.786	57491.2	58361.6
453.197	58328.6	59135.8
453.609	58616.4	59584
453.999	59077.4	59872.6
454.411	58998.8	59815.6
454.823	58905.2	59853
455.235	58621.6	59628.2
455.647	58238.6	59217.6
456.037	57480	58467.6
456.449	56709.2	57669
456.862	55742.4	56776.8
457.274	54652.8	55566.6
457.665	53410.6	54487.8
458.077	52234.2	53105.6
458.489	50933.2	51895.4
458.902	49422	50365.6
459.293	48045.4	49025
459.705	46635.8	47493.6
460.118	45248.2	46109.2
460.53	43944.4	44807.4
460.921	42539.8	43507.6
461.334	41320.2	42323.4
461.747	40195.6	41079.4
462.16	39142.4	39973
462.551	38068.2	38998.2
462.964	37071.6	38006.6
463.377	36258.8	37063.4
463.79	35460.2	36258
464.182	34710.2	35610
464.595	34039.2	34817.2
465.008	33337	34226.6
465.421	32762.2	33602.4
465.813	32224	33069
466.226	31717.6	32587
466.64	31162.8	32070.4
467.053	30758.2	31684
467.445	30344.4	31093.6
467.859	29810	30626.6
468.272	29333.8	30124.4
468.686	28807.8	29686.4
469.078	28329.2	29224
469.492	27821.2	28645.2
469.906	27263.6	28170.2
470.298	26791	27666.8
470.712	26250.4	27004.2
471.126	25737.8	26491.4
471.54	25156.6	25975.8
471.933	24608.6	25322.8
472.347	23992	24781.2
472.761	23487	24255.2
473.175	22840.6	23780.6
473.568	22390.8	23170.8
473.982	21881.8	22619.8
474.397	21293.4	22044.2
474.79	20809.6	21541.4
475.204	20280	21139.8
475.619	19902.4	20630.4
476.033	19468.2	20224.2
476.426	19086.8	19796.8
476.841	18734.6	19412
477.256	18310.6	19128
477.649	18050.4	18746.2
478.064	17778.4	18469
478.479	17484.4	18263.2
478.872	17255.6	18018.2
479.287	17106	17840.8
479.702	16965	17715.8
480.118	16866	17613.2
480.511	16773.2	17502.4
480.927	16673.6	17352
481.342	16612.4	17342
481.736	16606.6	17381.8
482.151	16563.4	17324.4
482.566	16621.8	17322.4
482.96	16612.2	17307.2
483.376	16644.6	17389.8
483.792	16699.4	17421
484.186	16804.2	17396.8
484.602	16860.4	17502.4
485.017	16932.2	17589.8
485.412	16984.4	17670.8
485.827	17053.2	17718.6
486.243	17143	17849.4
486.638	17243.8	18019.6
487.054	17414.8	18091.4
487.47	17492.2	18207.6
487.865	17664.4	18293.8
488.281	17833	18469.6
488.697	17915.8	18561.4
489.092	18098.8	18729.2
489.508	18216.2	18934.4
489.925	18405.4	19122.2
490.32	18672	19254.8
490.736	18823	19485.6
491.153	19034	19703
491.548	19263.6	19887.2
491.964	19536.4	20152.8
492.381	19705.2	20309
492.776	19962	20585.2
493.193	20234.6	20875.4
493.61	20481.2	21145.2
494.006	20826.6	21475.4
494.422	21149.2	21724.2
494.84	21407	22079.2
495.235	21696.4	22335.4
495.652	22101	22665
496.069	22404.4	23108.2
496.465	22747.4	23377
496.883	23144.6	23713.8
497.3	23522.6	24158.4
497.696	23761	24462
498.113	24279.6	24871.8
498.509	24534.2	25220.4
498.927	24975.4	25562.6
499.344	25311.2	25938.6
499.741	25686	26305.2
500.158	26072.8	26648.6
500.576	26527	27030.4
500.973	26792	27430.8
501.39	27274.4	27766.6
501.787	27578.4	28131.4
502.205	27954.4	28576
502.623	28340	28904.2
503.02	28677	29320
503.438	29055	29642.8
503.856	29479	30014.6
504.253	29786.6	30371.6
504.671	30142	30673.2
505.068	30458.8	31051.4
505.486	30854	31395.8
505.905	31258	31769.6
506.302	31562.2	32125.4
506.72	31913.2	32412.6
507.118	32247.8	32803
507.536	32553.4	33115
507.955	32984.2	33542.4
508.352	33268.4	33730.2
508.771	33535.8	33999
509.169	33918.2	34350.8
509.587	34244	34773.8
510.006	34563.2	34995.6
510.404	34899.8	35321.8
510.823	35203	35633.4
511.221	35410.2	36005.6
511.64	35723.6	36239.8
512.038	36075.2	36603.4
512.457	36281.2	36863.4
512.877	36655.4	37103.2
513.275	36979	37332
513.694	37188.6	37637
514.092	37538.2	38026.2
514.512	37763.6	38253.6
514.91	37972.4	38535.2
515.33	38244.6	38833.2
515.749	38525	39045.2
516.148	38796	39266.6
516.568	39057.2	39557.6
516.966	39376.8	39869
517.386	39664.2	40106
517.785	39858.4	40324.6
518.205	40156.8	40630.6
518.603	40388	40897
519.024	40589	41027.8
519.444	40842.8	41306
519.843	41228	41607.8
520.263	41377.2	41851
520.662	41550	41991.8
521.082	41922.4	42310.6
521.481	42072.6	42549.8
521.902	42261.8	42719.4
522.301	42491.2	42962.8
522.722	42714.8	43167.6
523.121	42946.8	43311.6
523.542	43193.6	43701.8
523.963	43327	43800
524.362	43563.8	44093
524.783	43697.4	44038
525.183	43991.2	44358.8
525.604	44122.8	44514.6
526.003	44336.2	44762
526.425	44350.8	44753.4
526.824	44612	45103.4
527.246	44788.6	45295.4
527.646	44981.6	45412.6
528.067	45184.6	45609
528.467	45388.6	45690.8
528.888	45480.6	45879.4
529.289	45661.4	46086
529.71	45779.4	46198.8
530.11	45954	46402.2
530.532	46112.2	46481.4
530.932	46301.4	46771.4
531.354	46471.4	46878.8
531.755	46772.4	47073.6
532.176	46707.6	47258.6
532.577	47018	47466.8
532.999	47308.6	47658.2
533.4	47454.6	47857.4
533.822	47614.4	48090.8
534.223	47836.8	48262.8
534.645	48039	48437.8
535.046	48263.6	48604
535.468	48483.8	48873
535.869	48656.2	49057
536.292	48758	49265
536.693	49140.6	49527.8
537.115	49310.4	49649.2
537.516	49501.6	49960.2
537.939	49750.8	50015.8
538.34	49925.6	50369
538.742	50119	50528.2
539.165	50310.4	50771.8
539.566	50470	50910.2
539.989	50742	51101
540.391	50948.2	51300.2
540.814	51131.2	51522.6
541.216	51314.4	51750.6
541.639	51549.8	51742.8
542.041	51633.8	52192.4
542.464	51921.8	52217.4
542.866	52079.4	52511.6
543.268	52251.8	52668.6
543.691	52472	52820.4
544.093	52695	52956
544.517	52878.4	53216.4
544.919	52925	53385.8
545.343	53168.8	53549.4
545.745	53264	53685.6
546.147	53458.2	53873.4
546.571	53704	54031
546.974	53787.4	54134
547.398	53943.8	54338.4
547.8	54256	54584.8
548.224	54319.4	54758.6
548.627	54581.4	54991.8
549.03	54730	55050.2
549.454	54904.2	55313
549.857	55151.8	55451.2
550.281	55272.2	55669
550.684	55461.6	55803.4
551.087	55579.6	56054
551.512	55679.4	56177.2
551.915	55838.8	56297.8
552.34	56006.6	56427.2
552.743	56199	56556.8
553.146	56266.8	56716.4
553.571	56510	56965
553.975	56817	57024.2
554.399	56969	57208.4
554.803	57180.2	57674.2
555.207	57310.8	57715.6
555.632	57487.2	57821
556.036	57629.8	58128
556.461	57814	58257.4
556.865	57983	58360
557.268	58130.6	58434.4
557.694	58407	58806
558.098	58501	58880.8
558.502	58727.4	59129.2
558.927	58985.8	59324.6
559.332	59137.6	59582.6
559.736	59358.8	59685.2
560.162	59574.4	59866.2
560.566	59719	60198.4
560.992	59931.2	60255.4
561.396	60269	60528.6
561.801	60423.8	60725
562.227	60524.2	60823.8
562.631	60745	61135.6
563.036	60911.4	61269.6
563.462	61123	61521.2
563.867	61338.2	61763
564.272	61560.8	61951.2
564.698	61771.8	62229.4
565.103	61974	62274.6
565.508	62198.8	62620.8
565.935	62403.4	62805.4
566.34	62637.4	63043
566.745	62875.6	63136.4
567.172	63086	63352.4
567.577	63306.2	63558.6
567.982	63478.4	63856.8
568.409	63693.8	63922.8
568.815	63887.8	64206.8
569.22	63853.4	64218.2
569.626	64193.4	64584.8
570.053	64386.2	64744.2
570.459	64585.6	65029.4
570.865	64804	65122
571.292	64929.8	65264.8
571.698	65028.4	65599
572.104	65272	65610.6
572.531	65539.8	65925.4
572.937	65626	65993.2
573.343	65854.2	66227.2
573.75	65988.6	66334
574.177	66189.2	66493
574.583	66339	66678.6
574.99	66444.2	66823.8
575.396	66817.2	67036.4
575.824	66807	67206.2
576.231	67081	67427
576.637	67032.4	67356
577.065	67362.2	67834.6
577.472	67372	67731.2
577.879	67742.6	68007.2
578.286	67794.4	68165.6
578.714	67775.8	68126.4
579.121	67920.4	68192.2
579.528	68192.2	68641.2
579.935	68360.6	68580.4
580.364	68256.4	68460
580.771	68560.4	68898.2
581.178	68732	69078.4
581.585	68673.4	69209
582.014	68648.4	68940.8
582.421	69054	69382.2
582.829	69145.6	69422.6
583.236	68934	69100.8
583.644	69463.4	69708.8
584.073	69194.2	69622.6
584.481	69387	69818.6
584.889	69663.4	70001.4
585.296	69259.2	69577.2
585.726	69670.4	69868
586.134	69418.2	69646.4
586.542	69866.8	70157
586.95	69823	70231.8
587.358	69621.8	69919.2
587.787	69471.2	69771.6
588.196	69316.8	69499
588.604	69838.2	70130.2
589.012	70006	70308.6
589.421	69740.8	70044.2
589.851	70160	70436.8
590.259	70060.4	70437.8
590.668	70122	70329.8
591.076	69792.6	70220.8
591.485	70198.6	70562.6
591.894	69751	69970.2
592.324	70181.6	70516.6
592.733	70065.8	70309.8
593.142	70097.4	70425.4
593.551	69763	70079
593.96	70137.8	70423.8
594.369	70356.4	70535.6
594.8	70126	70267.4
595.209	70222.6	70556
595.618	70045.2	70419.6
596.028	69915.6	70241.2
596.437	69946.4	70296.6
596.847	69892.6	70204
597.256	69665.6	70026.2
597.687	69717.2	70229.2
598.097	69455.6	69806.4
598.507	69845.2	70243.6
598.917	69817	70103.2
599.327	69402.6	69551.8
599.736	69731.2	70063.8
600.146	69540.8	69938
600.556	69096.8	69321.8
600.988	69167.4	69444.6
601.398	69241.2	69464.8
601.808	69226.4	69626
602.219	68978.4	69188.6
602.629	68982.8	69277.2
603.039	68481.8	68754
603.45	68629.8	68906.2
603.86	68355.2	68713.8
604.271	68380.2	68733.6
604.703	68304.6	68680.2
605.114	67995.2	68224.2
605.525	68091.8	68424.4
605.935	67744	68121.2
606.346	67735	68120
606.757	67575.6	67884.8
607.168	67390.8	67782.8
607.579	67282	67486.8
607.99	66888.2	67245.2
608.402	66917	67284
608.813	66825.4	67129.2
609.224	66594.6	67031.8
609.636	66303.2	66624.4
610.047	66140.8	66408.6
610.48	66033.4	66223.6
610.892	65652.4	66178
611.303	65586.2	65961.2
611.715	65384.2	65726.4
612.127	65155.4	65509.8
612.539	64988.2	65446
612.95	64768.6	65024.4
613.362	64565.4	64891.6
613.774	64320.2	64534.6
614.186	64128.8	64516.8
614.599	63917.2	64175.2
615.011	63711.2	64003.4
615.423	63373.6	63623.6
615.835	63172.4	63506.2
616.248	62879.6	63154.8
616.66	62657.8	62993
617.073	62463.8	62723.6
617.485	62107.8	62398.4
617.898	61912.2	62125.4
618.311	61646	61894
618.723	61308.2	61522
619.136	61044.6	61370.2
619.549	60773.8	61001.2
619.962	60533.8	60708.8
620.375	60168.8	60477
620.788	59947.4	60054
621.201	59650.6	59763.8
621.614	59255.2	59668.4
622.028	59088	59314.4
622.441	58755.2	58922.8
622.854	58444.8	58777.4
623.268	58175.8	58378
623.681	57950.8	58123.6
624.095	57528.8	57797.4
624.509	57436.2	57587.6
624.922	57065.6	57348.8
625.336	56627	57050.6
625.728	56472.8	56691.6
626.142	56016.2	56273
626.556	55736.8	55971.4
626.97	55416.6	55651.6
627.384	55082.8	55341.6
