#lambda/nm	DC	C1
389.725	518.2	520.8
390.129	539.6	538.4
390.532	527.2	527.6
390.936	519.8	523
391.339	516.6	511.2
391.743	515	527.6
392.125	518.4	525
392.529	534.4	528.4
392.933	537.2	532
393.337	516.6	522
393.74	520.2	522.4
394.144	526.6	527
394.548	516.4	519.4
394.953	524.8	516.6
395.357	529.2	525.4
395.761	520.4	519.8
396.144	529	517
396.548	516.6	517
396.952	523.8	521.2
397.357	524.2	518.2
397.761	518.8	512.2
398.166	517.2	509
398.57	516	518
398.975	509	520.4
399.379	524.4	528.6
399.763	553.6	557.6
400.168	517.8	514
400.572	517.4	507.8
400.977	516	515.8
401.382	538	531.6
401.787	528.2	523.2
402.192	532	526
402.597	530.8	533.4
403.002	514.2	503.4
403.386	538	519.6
403.791	538	534
404.197	525	520.4
404.602	523.2	519.6
405.007	520.6	522.4
405.413	525	519.2
405.818	521.2	528
406.224	507.2	515
406.608	514.4	523.8
407.014	509.6	517
407.42	530.4	531.6
407.825	521.2	517.8
408.231	533	521.8
408.637	524.4	520.2
409.043	527.4	529.8
409.449	515.4	518
409.834	516.4	518.4
410.24	519.8	527.4
410.646	533.8	532.6
411.052	525.2	527.2
411.458	525.4	525.2
411.865	524	526.8
412.271	531	535.4
412.677	524	517
413.062	529	528.2
413.469	515.4	512.6
413.875	538.8	543.6
414.282	533.4	532
414.689	527.6	519
415.095	523	520.2
415.502	519.2	514.2
415.888	525	526.6
416.294	514.6	512
416.701	551.6	551
417.108	518	517.6
417.515	529.6	529.2
417.923	522.8	530
418.33	534.4	541
418.715	527.4	534.8
419.123	508.4	523.6
419.53	516.4	517.4
419.937	519	526.8
420.345	527.8	535.6
420.752	515.6	518.8
421.16	530.4	535.2
421.546	514.8	521
421.953	525.8	527
422.361	511.2	513.2
422.769	522.4	522.2
423.177	523.8	514
423.585	539.4	542.4
423.992	529.8	533.8
424.379	533	533.4
424.787	531.6	533
425.195	531.6	543.6
425.603	518.6	526.2
426.011	528.6	540.6
426.419	535.6	530.8
426.806	519.8	525
427.214	528.4	526.4
427.623	533	538.8
428.031	535.6	546.8
428.44	527.8	533.6
428.848	535.6	545.6
429.235	541.2	549.8
429.644	525.6	554.4
430.053	527.2	557.8
430.461	534.2	577
430.87	545.6	595.4
431.279	538.6	586.4
431.666	517.4	580.6
432.075	520.6	597.8
432.484	537.2	619
432.893	519	631.6
433.302	532.6	658
433.711	554.2	679.8
434.099	524	674
434.508	523.2	683.4
434.918	518.6	698
435.327	531.4	733.2
435.737	529.8	755.4
436.125	533.2	774.4
436.534	531	780.2
436.944	527.2	806.6
437.353	529.2	823.2
437.763	541.8	850.8
438.173	528	852.2
438.561	533	874.8
438.971	513.2	895.6
439.381	525	907.4
439.791	531.8	930.8
440.201	508	939.8
440.589	531	955.4
440.999	527.2	967.6
441.409	526.6	990.2
441.819	518.6	993.2
442.23	540.6	1019.8
442.619	544.4	1030.2
443.029	525.6	1033.6
443.439	530.2	1055.8
443.85	544	1074.2
444.26	547.2	1094.8
444.649	539.6	1080.4
445.06	534.6	1074.8
445.471	536.6	1098
445.881	537.2	1119.2
446.292	552.6	1138
446.682	551	1142.2
447.092	531.8	1136.2
447.503	579.4	1169.8
447.914	539	1143.8
448.325	544.2	1149.4
448.715	538.2	1174.8
449.126	529.4	1186.6
449.537	543.6	1172.4
449.948	536.4	1157.2
450.338	538.6	1183.6
450.75	545.8	1191
451.161	541.2	1184.6
451.572	544.6	1186
451.984	535.8	1202.2
452.374	526.2	1191.6
452.786	529.4	1210.4
453.197	539.4	1212.6
453.609	541.4	1220.2
453.999	528.4	1210.8
454.411	531.8	1210.4
454.823	551.4	1227.8
455.235	533	1224.6
455.647	522.6	1217.2
456.037	542	1228.4
456.449	520.8	1225.2
456.862	532.2	1228.8
457.274	535.2	1219.6
457.665	521.6	1218.6
458.077	533.8	1236.2
458.489	555.4	1259.6
458.902	521.6	1228.2
459.293	534.2	1219.4
459.705	530.4	1221
460.118	535.4	1228.2
460.53	531	1239.8
460.921	525.4	1229.8
461.334	529.4	1242.6
461.747	529.8	1233.4
462.16	541.4	1232.4
462.551	535.8	1238.8
462.964	536.2	1227.6
463.377	522.8	1226.2
463.79	527.6	1243.8
464.182	533.8	1239.8
464.595	523.2	1220
465.008	535	1245.4
465.421	535	1238.8
465.813	515	1219.2
466.226	528.6	1226
466.64	527.2	1225.6
467.053	552.8	1261.4
467.445	532.4	1230.6
467.859	530.8	1249.6
468.272	525.8	1226.6
468.686	532.2	1246.8
469.078	517.8	1234.2
469.492	508.8	1234.8
469.906	524.4	1236.4
470.298	519	1237.8
470.712	513	1215.4
471.126	542.8	1244
471.54	509.6	1219.6
471.933	514.2	1217.6
472.347	511	1226
472.761	510	1210.6
473.175	509	1210.6
473.568	511.8	1223.8
473.982	504.2	1207.4
474.397	519.4	1220.2
474.79	519	1205.2
475.204	520.2	1218.8
475.619	516	1210.4
476.033	520.8	1218.2
476.426	522	1191.8
476.841	521.4	1177.2
477.256	528.2	1208.6
477.649	520.4	1173.6
478.064	510.2	1159
478.479	507.8	1161.4
478.872	508	1174.4
479.287	510.2	1154
479.702	514.8	1169.6
480.118	515.6	1152.4
480.511	510.8	1151.4
480.927	517.8	1155.8
481.342	516.6	1150
481.736	519	1164
482.151	508	1135
482.566	527.4	1154.8
482.96	520.2	1151
483.376	522.6	1145
483.792	512.4	1128.8
484.186	526	1135.2
484.602	513.4	1126.6
485.017	520.4	1138.6
485.412	516	1130
485.827	522.2	1134.4
486.243	523	1115.8
486.638	531.6	1129.8
487.054	518	1121.4
487.47	536.2	1128.2
487.865	510.4	1103.6
488.281	517.2	1096
488.697	503.2	1074
489.092	514.4	1087.6
489.508	501.6	1081
489.925	526.4	1082.8
490.32	508.6	1066.4
490.736	526.8	1059.6
491.153	520	1064.6
491.548	527.2	1055.8
491.964	523	1068.2
492.381	508.8	1040
492.776	520.6	1049.8
493.193	525.8	1039.6
493.61	520.2	1029.8
494.006	523.8	1049.4
494.422	522.6	1048.4
494.84	511.2	1017.4
495.235	520	1041.8
495.652	512.2	1023
496.069	514.2	1027
496.465	511	1015.2
496.883	518.8	1003.2
497.3	526	1020.2
497.696	521.6	1002
498.113	527	992.4
498.509	505.4	973
498.927	514.4	972.4
499.344	513.8	976.2
499.741	506.2	974.4
500.158	526	968.6
500.576	526.4	976.2
500.973	522.4	969.4
501.39	512.2	941.6
501.787	506.8	942.4
502.205	523.8	955.6
502.623	515.2	937.8
503.02	512	926.2
503.438	517.2	934
503.856	520	934.4
504.253	518.8	928.8
504.671	517	915
505.068	516.2	910
505.486	510	915.6
505.905	526.2	931.8
506.302	519.6	903.2
506.72	528.6	919.4
507.118	509.4	899
507.536	515.2	893.8
507.955	516.2	896.2
508.352	524.8	883.6
508.771	521.8	896.2
509.169	530.6	888.6
509.587	518.6	875
510.006	519	882.8
510.404	511.2	854.2
510.823	519	855.2
511.221	517.8	853
511.64	518	858.6
512.038	531.6	865
512.457	519.6	857.6
512.877	520.6	844.6
513.275	514.8	836.2
513.694	510.4	842.2
514.092	513.8	830.8
514.512	529.2	836
514.91	532.2	841.6
515.33	524.2	825.2
515.749	514.6	823.2
516.148	531.2	818.4
516.568	521.6	812.8
516.966	524.8	821.8
517.386	517.2	816.8
517.785	514.8	802.2
518.205	507	806.8
518.603	516.2	788.4
519.024	512.6	799.4
519.444	515.2	786.4
519.843	526.8	789
520.263	524.8	803.2
520.662	523.6	784
521.082	518.8	772.6
521.481	531.2	773.6
521.902	524.4	776.6
522.301	523	768.2
522.722	522.2	767.2
523.121	519.6	761.6
523.542	522.2	763.6
523.963	517	755.8
524.362	521.2	755.6
524.783	523.8	742.6
525.183	525	758.8
525.604	516	750.8
526.003	525.4	737
526.425	516	740.6
526.824	521.2	749.8
527.246	535.2	746.4
527.646	528.2	739
528.067	520.4	733.8
528.467	525.8	734.2
528.888	525	729
529.289	526	714.4
529.71	521	727.2
530.11	526.4	719.8
530.532	516.2	717.2
530.932	517.2	702
531.354	520.6	701.2
531.755	554.2	737.6
532.176	535.6	721.4
532.577	521	702.8
532.999	522.8	710
533.4	529	705.8
533.822	525.2	717
534.223	522.8	691.8
534.645	520.8	691.2
535.046	518.4	684
535.468	531.4	685.6
535.869	534	703.4
536.292	515.6	679.4
536.693	548.8	706.6
537.115	533.4	685.8
537.516	520.4	674
537.939	521.4	678.8
538.34	531.4	692.6
538.742	539.2	686.8
539.165	515.8	674.2
539.566	516.2	673
539.989	518.8	665.4
540.391	520.4	667.6
540.814	517.4	673.2
541.216	523.6	659
541.639	522.4	664.8
542.041	536.8	673.6
542.464	521.6	661.2
542.866	514	649.2
543.268	517.2	647.4
543.691	526	664
544.093	524.8	656.2
544.517	538.2	673
544.919	511.6	664
545.343	537	663.4
545.745	513.2	638.6
546.147	514.2	652.4
546.571	518.2	643.4
546.974	517.4	636.4
547.398	517.6	650.8
547.8	538.8	654.2
548.224	513.4	638.8
548.627	512.8	643.4
549.03	520.6	634
549.454	516.2	633.2
549.857	518	623.2
550.281	516.6	632.4
550.684	515.8	634
551.087	531.4	640.6
551.512	516.4	622.2
551.915	525.6	635
552.34	515.2	629.2
552.743	513.8	628.4
553.146	518.4	627
553.571	517.4	619.8
553.975	535.8	626.6
554.399	515	619.8
554.803	556.2	663
555.207	518.6	622
555.632	511.4	609.4
556.036	529.4	619
556.461	521.4	609.8
556.865	520.4	609.8
557.268	510.6	604
557.694	514.8	609.4
558.098	520.6	610.2
558.502	521.6	607.6
558.927	514.4	599.4
559.332	520.2	607
559.736	520.6	604.8
560.162	524.2	605.2
560.566	513.2	600.6
560.992	527.2	600.2
561.396	530.8	600.2
561.801	513.6	595
562.227	522.4	593.8
562.631	515.6	597.8
563.036	517.8	585
563.462	519.6	600.6
563.867	514.6	597.2
564.272	504.4	577.4
564.698	524.8	598.6
565.103	510.4	571.8
565.508	534.6	590
565.935	520.2	580.8
566.34	519.6	580.2
566.745	522	592.4
567.172	511.8	571.2
567.577	536.2	596.6
567.982	522.4	590.8
568.409	515.6	578.4
568.815	515.4	575.4
569.22	515.4	581.8
569.626	518.6	585.2
570.053	508	574.6
570.459	516.6	577
570.865	519.8	580.4
571.292	513.2	586.6
571.698	517.8	574
572.104	501	552.6
572.531	523.2	569
572.937	521.8	576.6
573.343	505.8	573.6
573.75	517.8	565.6
574.177	520.4	572
574.583	525.2	570.4
574.99	521.6	567.8
575.396	522.4	566.4
575.824	518.2	568.8
576.231	518.4	569.4
576.637	512	554.4
577.065	529.6	586
577.472	516	561.4
577.879	509.6	555.8
578.286	523.4	568.2
578.714	510.8	565.4
579.121	510.2	566.8
579.528	512.4	554.4
579.935	513.4	563.8
580.364	512.6	567.2
580.771	502.2	549.4
581.178	508.6	548.6
581.585	515.2	560.4
582.014	512.2	562.4
582.421	505	556.6
582.829	512.4	556.8
583.236	527.6	552.6
583.644	502	552.4
584.073	515.8	545.8
584.481	508	555.8
584.889	507.8	542.8
585.296	527	556
585.726	508.2	560.4
586.134	508.6	544
586.542	509	549.2
586.95	532.4	561.2
587.358	511.2	537
587.787	521.2	550
588.196	508.4	539.6
588.604	514.6	545.8
589.012	511.4	547.4
589.421	508.2	532.8
589.851	507.2	539
590.259	520.2	550
590.668	509.6	546.8
591.076	539.6	571.6
591.485	512.6	537.4
591.894	518.2	537.2
592.324	529	552.8
592.733	521	546.2
593.142	511.8	525
593.551	514.4	532.2
593.96	545.4	565.2
594.369	508.2	535.4
594.8	505.4	526
595.209	514.2	531
595.618	507.6	518.4
596.028	508.8	542
596.437	505.6	525.6
596.847	518	534.2
597.256	517.8	528.8
597.687	520	535.8
598.097	515.4	533.6
598.507	508.2	525.8
598.917	516.8	531.4
599.327	518	537.6
599.736	518	536.4
600.146	525.8	533
600.556	527.8	529.4
600.988	524	545
