#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
115712.000000	237.590391
116736.000000	238.045625
117760.000000	238.884297
118784.000000	239.661016
119808.000000	240.534844
120832.000000	241.138750
121856.000000	241.961094
122880.000000	242.788437
123904.000000	243.105000
124928.000000	244.017031
125952.000000	244.711719
126976.000000	245.190625
128000.000000	245.846250
129024.000000	246.549766
130048.000000	246.997422
131072.000000	247.405156
132096.000000	248.289453
133120.000000	248.526797
134144.000000	249.030547
135168.000000	249.552734
136192.000000	250.228828
137216.000000	250.612734
138240.000000	250.892969
139264.000000	251.605781
140288.000000	251.948047
141312.000000	252.292344
142336.000000	252.541094
143360.000000	253.249609
144384.000000	253.591797
145408.000000	254.192344
146432.000000	254.652813
147456.000000	255.032500
148480.000000	255.383438
149504.000000	255.688906
150528.000000	256.038359
151552.000000	256.378438
152576.000000	256.700938
153600.000000	257.074219
154624.000000	257.276094
155648.000000	257.543437
156672.000000	257.907109
157696.000000	258.262187
158720.000000	258.486719
159744.000000	258.785391
160768.000000	259.185313
161792.000000	259.473906
162816.000000	259.696172
163840.000000	259.931328
164864.000000	260.213281
165888.000000	260.615859
166912.000000	260.618672
167936.000000	260.971563
168960.000000	261.275547
169984.000000	261.369375
171008.000000	261.530156
172032.000000	261.756562
173056.000000	262.008125
174080.000000	262.299453
175104.000000	262.425469
176128.000000	262.578906
177152.000000	262.788281
178176.000000	262.955859
179200.000000	263.131953
180224.000000	263.208984
181248.000000	263.461172
182272.000000	263.714687
183296.000000	263.669766
184320.000000	264.004453
185344.000000	264.040547
186368.000000	264.239297
187392.000000	264.246797
188416.000000	264.630000
189440.000000	264.743203
190464.000000	264.982969
191488.000000	265.217266
192512.000000	265.321563
193536.000000	265.443516
194560.000000	265.750234
195584.000000	265.986172
196608.000000	266.115781
197632.000000	266.301406
198656.000000	266.347109
199680.000000	266.495625
200704.000000	266.644453
201728.000000	266.761172
202752.000000	266.949766
203776.000000	266.902578
204800.000000	267.067422
205824.000000	267.132578
206848.000000	267.193828
207872.000000	267.167891
208896.000000	267.138594
209920.000000	267.154688
210944.000000	267.350000
211968.000000	267.442109
212992.000000	267.356562
214016.000000	267.468281
215040.000000	267.451875
216064.000000	267.603828
217088.000000	267.665234
218112.000000	267.629531
219136.000000	267.880625
220160.000000	267.738906
221184.000000	267.802266
222208.000000	267.792500
223232.000000	268.017656
224256.000000	268.008594
225280.000000	268.124687
226304.000000	268.198125
227328.000000	268.166563
228352.000000	268.127344
229376.000000	268.317891
230400.000000	268.307969
231424.000000	268.377031
232448.000000	268.367578
233472.000000	268.473047
234496.000000	268.490078
235520.000000	268.514844
236544.000000	268.570937
237568.000000	268.632812
238592.000000	268.607422
239616.000000	268.643906
240640.000000	268.730000
241664.000000	268.785391
242688.000000	268.791641
243712.000000	268.828828
244736.000000	268.822031
245760.000000	268.944609
246784.000000	268.955937
247808.000000	268.858047
248832.000000	268.945391
249856.000000	268.946719
250880.000000	268.970078
251904.000000	268.984297
252928.000000	269.040313
253952.000000	268.998984
254976.000000	269.140391
256000.000000	269.037266
257024.000000	269.117500
258048.000000	269.157344
259072.000000	269.158203
260096.000000	269.145703
